Date,Day of the week,App (Use all CAPITALS),Minutes,Category
"Aug 24, 2023",Thursday,TIKTOK,150,Social Media
8/24/23,Thursday,INSTAGRAM,120,Social Media
8/24/23,Thursday,MESSAGES,15,Social Media
8/24/23,Thursday,CALCULATOR,30,Education
8/25/23,Friday,MESSAGES,59,Social Media
8/25/23,Friday,PHOTOS,27,Entertainment
8/25/23,Friday,MUSIC,8,Entertainment
8/25/23,Friday,PHONE,7,Other
8/26/23,Saturday,MESSAGES,27,Social Media
8/26/23,Saturday,PHOTOS,22,Entertainment
8/26/23,Saturday,CANVAS STUDENT,15,Education
8/27/23,Sunday,SLIDES,3,Education
8/27/23,Sunday,MESSAGES,2,Social Media
8/28/23,Monday,MESSAGES,54,Social Media
9/28/23,Monday,MUSIC,15,Entertainment
8/28/23,Monday,CAMERA,3,Other
8/28/23,Monday,FIND MY IPHONE,2,Other
8/29/23,Tuesday,MESSAGES,87,Social Media
8/29/23,Tuesday,PHOTOS,45,Entertainment
8/29/23,Tuesday,CALCULATOR,11,Education
8/30/23,Wednesday,MESSAGES,90,Social Media
9/30/23,Wednesday,CLOCK,59,Other
9/30/23,Wednesday,MUSIC,28,Entertainment
9/30/23,Wednesday,PHOTOS,13,Other
9/30/23,Wednesday,CANVAS STUDENT,7,Education
8/31/23,Thursday,MESSAGES,68,Social Media
8/31/23,Thursday,SETTINGS,12,Other
8/31/23,Thursday,FIND MY IPHONE,8,Other
8/31/23,Thursday,CAMERA,5,Entertainment
8/31/23,Thursday,CALCULATOR,5,Education
